,B,T,Mal,CAF,Macro,Endo,NK
7x15,1.12E-01,3.52E-01,4.15E-01,2.34E-02,5.02E-02,2.32E-02,2.32E-02
7x16,1.18E-01,3.62E-01,3.95E-01,2.50E-02,5.14E-02,2.43E-02,2.40E-02
7x17,1.32E-01,4.00E-01,3.58E-01,2.36E-02,4.52E-02,2.11E-02,2.07E-02
7x18,1.32E-01,4.01E-01,3.57E-01,2.35E-02,4.50E-02,2.10E-02,2.06E-02
8x13,1.38E-01,4.13E-01,3.40E-01,2.40E-02,4.44E-02,2.08E-02,2.03E-02
8x14,1.18E-01,3.49E-01,4.00E-01,2.63E-02,5.48E-02,2.61E-02,2.58E-02
8x15,9.92E-02,3.08E-01,4.57E-01,2.48E-02,5.74E-02,2.70E-02,2.72E-02
8x16,1.32E-01,3.72E-01,3.58E-01,2.95E-02,5.42E-02,2.71E-02,2.68E-02
8x17,2.13E-01,5.45E-01,1.67E-01,2.20E-02,2.72E-02,1.33E-02,1.21E-02
8x18,1.26E-01,3.65E-01,3.77E-01,2.70E-02,5.31E-02,2.59E-02,2.53E-02
8x19,1.24E-01,3.94E-01,3.76E-01,2.19E-02,4.39E-02,2.00E-02,1.97E-02
9x13,1.62E-01,4.64E-01,2.73E-01,2.45E-02,3.96E-02,1.90E-02,1.80E-02
9x14,1.48E-01,4.22E-01,3.14E-01,2.62E-02,4.61E-02,2.23E-02,2.13E-02
9x15,1.36E-01,4.15E-01,3.43E-01,2.32E-02,4.36E-02,2.01E-02,1.97E-02
9x16,9.76E-02,3.10E-01,4.59E-01,2.41E-02,5.65E-02,2.63E-02,2.65E-02
9x17,2.06E-01,5.33E-01,1.81E-01,2.30E-02,2.94E-02,1.45E-02,1.32E-02
9x18,1.30E-01,3.70E-01,3.67E-01,2.79E-02,5.32E-02,2.63E-02,2.57E-02
10x13,1.26E-01,3.69E-01,3.77E-01,2.61E-02,5.19E-02,2.49E-02,2.44E-02
10x15,1.03E-01,3.13E-01,4.47E-01,2.54E-02,5.72E-02,2.71E-02,2.74E-02
10x16,1.43E-01,3.93E-01,3.33E-01,2.87E-02,5.18E-02,2.57E-02,2.47E-02
10x17,1.41E-01,3.81E-01,3.43E-01,2.94E-02,5.35E-02,2.68E-02,2.59E-02
10x18,1.22E-01,3.13E-01,3.91E-01,3.48E-02,6.77E-02,3.59E-02,3.54E-02
11x12,1.50E-01,4.13E-01,3.17E-01,2.71E-02,4.75E-02,2.33E-02,2.24E-02
11x13,1.74E-01,4.93E-01,2.44E-01,2.27E-02,3.45E-02,1.63E-02,1.54E-02
11x14,1.16E-01,3.42E-01,4.02E-01,2.79E-02,5.66E-02,2.76E-02,2.78E-02
11x15,1.09E-01,3.54E-01,4.24E-01,2.18E-02,4.79E-02,2.17E-02,2.18E-02
11x16,1.13E-01,3.44E-01,4.15E-01,2.50E-02,5.32E-02,2.52E-02,2.51E-02
11x17,1.26E-01,3.49E-01,3.81E-01,2.96E-02,5.79E-02,2.90E-02,2.85E-02
12x12,1.03E-01,3.27E-01,4.44E-01,2.35E-02,5.32E-02,2.46E-02,2.49E-02
12x13,1.01E-01,3.27E-01,4.50E-01,2.26E-02,5.18E-02,2.37E-02,2.40E-02
12x14,1.02E-01,3.34E-01,4.47E-01,2.19E-02,5.00E-02,2.26E-02,2.29E-02
12x15,1.01E-01,3.29E-01,4.50E-01,2.23E-02,5.12E-02,2.33E-02,2.36E-02
12x16,1.75E-01,4.58E-01,2.52E-01,2.87E-02,4.33E-02,2.18E-02,2.06E-02
12x17,1.41E-01,3.20E-01,3.50E-01,3.94E-02,7.15E-02,3.95E-02,3.81E-02
13x11,1.10E-01,3.04E-01,4.23E-01,3.10E-02,6.48E-02,3.28E-02,3.35E-02
13x12,9.57E-02,3.26E-01,4.65E-01,2.07E-02,4.90E-02,2.18E-02,2.23E-02
13x13,9.68E-02,3.25E-01,4.62E-01,2.12E-02,4.97E-02,2.23E-02,2.28E-02
13x14,1.19E-01,3.45E-01,3.98E-01,2.77E-02,5.60E-02,2.72E-02,2.74E-02
13x15,1.02E-01,3.34E-01,4.47E-01,2.20E-02,5.00E-02,2.27E-02,2.30E-02
13x16,9.32E-02,3.00E-01,4.73E-01,2.38E-02,5.70E-02,2.64E-02,2.68E-02
13x17,1.36E-01,3.77E-01,3.51E-01,2.92E-02,5.39E-02,2.70E-02,2.62E-02
13x18,1.15E-01,3.30E-01,4.11E-01,2.80E-02,5.85E-02,2.87E-02,2.85E-02
14x7,9.37E-02,3.19E-01,4.72E-01,2.07E-02,4.96E-02,2.22E-02,2.26E-02
14x8,1.07E-01,3.27E-01,4.30E-01,2.61E-02,5.65E-02,2.69E-02,2.74E-02
14x9,1.10E-01,3.23E-01,4.25E-01,2.70E-02,5.84E-02,2.82E-02,2.82E-02
14x10,8.41E-02,2.87E-01,5.05E-01,2.11E-02,5.38E-02,2.42E-02,2.50E-02
14x11,8.26E-02,2.83E-01,5.12E-01,2.06E-02,5.34E-02,2.38E-02,2.47E-02
14x12,8.41E-02,2.95E-01,5.06E-01,1.97E-02,5.06E-02,2.22E-02,2.30E-02
14x13,1.20E-01,3.54E-01,3.92E-01,2.70E-02,5.40E-02,2.61E-02,2.63E-02
14x14,1.23E-01,3.45E-01,3.83E-01,3.01E-02,5.93E-02,2.96E-02,2.93E-02
14x15,1.34E-01,3.83E-01,3.52E-01,2.82E-02,5.19E-02,2.55E-02,2.53E-02
14x16,1.22E-01,3.76E-01,3.87E-01,2.35E-02,4.80E-02,2.21E-02,2.20E-02
14x17,1.50E-01,3.86E-01,3.16E-01,3.34E-02,5.63E-02,2.95E-02,2.85E-02
14x18,1.06E-01,2.95E-01,4.37E-01,3.03E-02,6.56E-02,3.32E-02,3.32E-02
15x5,1.10E-01,3.35E-01,4.26E-01,2.49E-02,5.41E-02,2.55E-02,2.56E-02
15x6,1.08E-01,3.37E-01,4.28E-01,2.43E-02,5.30E-02,2.49E-02,2.49E-02
15x7,1.03E-01,3.09E-01,4.42E-01,2.73E-02,6.02E-02,2.92E-02,2.98E-02
15x8,9.67E-02,3.08E-01,4.63E-01,2.39E-02,5.62E-02,2.62E-02,2.64E-02
15x9,8.57E-02,2.79E-01,5.00E-01,2.31E-02,5.83E-02,2.69E-02,2.76E-02
15x10,8.06E-02,2.84E-01,5.17E-01,1.98E-02,5.18E-02,2.27E-02,2.37E-02
15x11,8.30E-02,2.85E-01,5.10E-01,2.06E-02,5.32E-02,2.37E-02,2.46E-02
15x12,9.58E-02,3.12E-01,4.67E-01,2.25E-02,5.32E-02,2.43E-02,2.48E-02
15x13,9.15E-02,3.13E-01,4.79E-01,2.07E-02,5.03E-02,2.24E-02,2.30E-02
15x14,8.86E-02,2.99E-01,4.91E-01,2.12E-02,5.25E-02,2.36E-02,2.43E-02
15x15,9.10E-02,3.03E-01,4.83E-01,2.16E-02,5.28E-02,2.39E-02,2.45E-02
15x16,1.10E-01,3.23E-01,4.20E-01,2.81E-02,5.99E-02,2.92E-02,2.94E-02
15x17,1.22E-01,3.45E-01,3.89E-01,2.87E-02,5.77E-02,2.85E-02,2.80E-02
15x18,1.35E-01,3.92E-01,3.54E-01,2.55E-02,4.79E-02,2.29E-02,2.25E-02
16x3,1.30E-01,3.87E-01,3.63E-01,2.52E-02,4.84E-02,2.31E-02,2.26E-02
16x4,1.03E-01,3.32E-01,4.42E-01,2.31E-02,5.21E-02,2.40E-02,2.42E-02
16x5,1.06E-01,3.59E-01,4.27E-01,2.06E-02,4.56E-02,2.04E-02,2.05E-02
16x6,1.12E-01,3.41E-01,4.14E-01,2.61E-02,5.47E-02,2.61E-02,2.65E-02
16x7,8.90E-02,3.02E-01,4.87E-01,2.13E-02,5.25E-02,2.36E-02,2.42E-02
16x8,1.00E-01,3.04E-01,4.49E-01,2.69E-02,6.03E-02,2.91E-02,2.98E-02
16x9,9.50E-02,3.16E-01,4.70E-01,2.14E-02,5.10E-02,2.30E-02,2.35E-02
16x10,1.12E-01,3.67E-01,4.13E-01,2.13E-02,4.58E-02,2.06E-02,2.07E-02
16x11,7.62E-02,2.68E-01,5.34E-01,1.98E-02,5.37E-02,2.36E-02,2.47E-02
16x12,9.01E-02,3.08E-01,4.84E-01,2.07E-02,5.09E-02,2.27E-02,2.33E-02
16x13,1.07E-01,3.58E-01,4.25E-01,2.12E-02,4.68E-02,2.08E-02,2.12E-02
16x14,1.21E-01,3.69E-01,3.85E-01,2.57E-02,5.10E-02,2.43E-02,2.43E-02
16x15,9.58E-02,3.22E-01,4.66E-01,2.12E-02,5.02E-02,2.25E-02,2.30E-02
16x16,1.03E-01,3.19E-01,4.47E-01,2.43E-02,5.51E-02,2.58E-02,2.60E-02
16x17,1.36E-01,3.68E-01,3.53E-01,3.05E-02,5.63E-02,2.85E-02,2.77E-02
16x18,1.34E-01,3.91E-01,3.55E-01,2.55E-02,4.85E-02,2.31E-02,2.26E-02
16x19,1.16E-01,3.49E-01,4.06E-01,2.55E-02,5.35E-02,2.54E-02,2.52E-02
17x4,1.04E-01,3.24E-01,4.39E-01,2.47E-02,5.55E-02,2.61E-02,2.61E-02
17x5,8.85E-02,2.96E-01,4.90E-01,2.18E-02,5.41E-02,2.45E-02,2.51E-02
17x6,8.64E-02,2.93E-01,4.98E-01,2.11E-02,5.31E-02,2.38E-02,2.46E-02
17x7,1.03E-01,3.26E-01,4.42E-01,2.39E-02,5.39E-02,2.52E-02,2.53E-02
17x8,1.14E-01,3.36E-01,4.09E-01,2.76E-02,5.71E-02,2.78E-02,2.80E-02
17x9,1.09E-01,3.39E-01,4.20E-01,2.57E-02,5.47E-02,2.60E-02,2.63E-02
17x10,8.80E-02,2.98E-01,4.93E-01,2.11E-02,5.24E-02,2.35E-02,2.42E-02
17x11,1.03E-01,3.44E-01,4.41E-01,2.11E-02,4.77E-02,2.14E-02,2.17E-02
17x12,1.07E-01,3.52E-01,4.27E-01,2.17E-02,4.79E-02,2.17E-02,2.18E-02
17x13,1.09E-01,3.60E-01,4.22E-01,2.11E-02,4.62E-02,2.08E-02,2.09E-02
17x14,1.01E-01,3.30E-01,4.44E-01,2.34E-02,5.26E-02,2.42E-02,2.48E-02
17x15,9.68E-02,3.17E-01,4.63E-01,2.23E-02,5.24E-02,2.39E-02,2.43E-02
17x16,1.27E-01,3.39E-01,3.83E-01,3.07E-02,6.02E-02,3.05E-02,3.00E-02
17x17,1.20E-01,3.22E-01,3.93E-01,3.31E-02,6.48E-02,3.36E-02,3.37E-02
17x18,1.25E-01,3.73E-01,3.79E-01,2.54E-02,5.03E-02,2.40E-02,2.36E-02
17x19,1.28E-01,3.61E-01,3.76E-01,2.78E-02,5.44E-02,2.67E-02,2.62E-02
17x20,1.34E-01,3.68E-01,3.57E-01,2.97E-02,5.59E-02,2.80E-02,2.71E-02
17x21,1.31E-01,3.84E-01,3.62E-01,2.60E-02,4.96E-02,2.39E-02,2.34E-02
18x4,1.14E-01,3.44E-01,4.16E-01,2.46E-02,5.22E-02,2.46E-02,2.47E-02
18x5,8.79E-02,2.80E-01,4.90E-01,2.45E-02,6.03E-02,2.85E-02,2.90E-02
18x6,1.04E-01,3.50E-01,4.33E-01,2.15E-02,4.80E-02,2.15E-02,2.19E-02
18x7,1.01E-01,3.34E-01,4.50E-01,2.15E-02,4.91E-02,2.23E-02,2.25E-02
18x8,8.70E-02,2.96E-01,4.96E-01,2.10E-02,5.23E-02,2.35E-02,2.42E-02
18x9,8.93E-02,3.05E-01,4.87E-01,2.09E-02,5.15E-02,2.30E-02,2.36E-02
18x10,8.52E-02,2.96E-01,5.01E-01,2.02E-02,5.13E-02,2.27E-02,2.35E-02
18x11,8.89E-02,3.01E-01,4.90E-01,2.09E-02,5.16E-02,2.32E-02,2.38E-02
18x12,1.00E-01,3.17E-01,4.56E-01,2.32E-02,5.34E-02,2.48E-02,2.51E-02
18x13,1.08E-01,3.53E-01,4.24E-01,2.20E-02,4.80E-02,2.19E-02,2.20E-02
18x14,1.12E-01,3.40E-01,4.14E-01,2.61E-02,5.46E-02,2.61E-02,2.64E-02
18x15,1.00E-01,3.18E-01,4.53E-01,2.36E-02,5.43E-02,2.52E-02,2.55E-02
18x16,1.27E-01,3.72E-01,3.74E-01,2.63E-02,5.19E-02,2.49E-02,2.44E-02
18x17,1.27E-01,3.53E-01,3.76E-01,2.96E-02,5.70E-02,2.86E-02,2.81E-02
18x18,1.18E-01,3.41E-01,3.95E-01,2.92E-02,5.86E-02,2.91E-02,2.90E-02
18x19,1.24E-01,3.40E-01,3.88E-01,2.98E-02,5.92E-02,2.98E-02,2.92E-02
18x20,1.43E-01,3.94E-01,3.34E-01,2.84E-02,5.10E-02,2.53E-02,2.44E-02
18x21,1.64E-01,4.41E-01,2.80E-01,2.75E-02,4.44E-02,2.21E-02,2.09E-02
18x22,1.26E-01,3.95E-01,3.63E-01,2.43E-02,4.77E-02,2.22E-02,2.17E-02
18x23,1.63E-01,4.32E-01,2.83E-01,2.91E-02,4.65E-02,2.36E-02,2.23E-02
18x24,1.46E-01,4.27E-01,3.15E-01,2.52E-02,4.42E-02,2.12E-02,2.04E-02
19x4,1.20E-01,3.63E-01,3.91E-01,2.54E-02,5.19E-02,2.47E-02,2.42E-02
19x5,1.53E-01,4.18E-01,2.95E-01,3.12E-02,5.13E-02,2.65E-02,2.51E-02
19x6,1.06E-01,3.48E-01,4.31E-01,2.20E-02,4.86E-02,2.22E-02,2.23E-02
19x7,1.13E-01,3.41E-01,4.12E-01,2.65E-02,5.52E-02,2.65E-02,2.68E-02
19x8,1.34E-01,4.19E-01,3.47E-01,2.18E-02,4.10E-02,1.89E-02,1.84E-02
19x9,1.36E-01,4.37E-01,3.28E-01,2.21E-02,4.02E-02,1.85E-02,1.80E-02
19x10,8.40E-02,2.87E-01,5.07E-01,2.07E-02,5.29E-02,2.37E-02,2.45E-02
19x11,9.94E-02,2.96E-01,4.53E-01,2.77E-02,6.20E-02,3.02E-02,3.11E-02
19x12,1.01E-01,3.32E-01,4.49E-01,2.19E-02,5.01E-02,2.27E-02,2.30E-02
19x13,1.04E-01,3.42E-01,4.39E-01,2.17E-02,4.87E-02,2.21E-02,2.23E-02
19x14,8.84E-02,3.03E-01,4.91E-01,2.05E-02,5.11E-02,2.27E-02,2.34E-02
19x15,1.08E-01,3.22E-01,4.27E-01,2.73E-02,5.86E-02,2.84E-02,2.88E-02
19x16,1.61E-01,4.26E-01,2.91E-01,2.87E-02,4.74E-02,2.38E-02,2.25E-02
19x17,1.30E-01,3.56E-01,3.70E-01,3.00E-02,5.71E-02,2.89E-02,2.82E-02
19x18,1.17E-01,3.46E-01,4.04E-01,2.62E-02,5.43E-02,2.61E-02,2.59E-02
19x19,1.27E-01,3.41E-01,3.79E-01,3.13E-02,6.04E-02,3.09E-02,3.03E-02
19x20,1.16E-01,3.68E-01,4.00E-01,2.32E-02,4.83E-02,2.22E-02,2.23E-02
19x21,3.13E-01,3.87E-01,9.12E-02,8.29E-02,4.91E-02,3.77E-02,3.96E-02
19x22,1.70E-01,4.60E-01,2.62E-01,2.65E-02,4.11E-02,2.04E-02,1.92E-02
19x23,1.61E-01,4.35E-01,2.87E-01,2.76E-02,4.51E-02,2.24E-02,2.13E-02
19x24,1.57E-01,4.20E-01,2.91E-01,3.12E-02,5.06E-02,2.61E-02,2.48E-02
19x25,1.52E-01,4.34E-01,3.02E-01,2.60E-02,4.42E-02,2.16E-02,2.05E-02
