"","cell_ID","B","T","Mal","CAF","Macro","Endo","NK"
"1","1",0.10462358890507,0.01786643968809,0.837257792372571,0,0.034001562433935,0.00625061660033393,0
"2","2",0.0194459966143347,0,0.720514566450797,0,0.143193014240483,0.0928470849680882,0.0239993377262966
"3","3",0.0686426716289906,0,0.81399460250762,0,0.11736272586339,0,0
"4","4",0.0978652235976305,0,0.783136016794762,0,0.083214523224358,0.0357842363832498,0
"5","5",0.159488330884346,0,0.816634042640961,0,0.00279785422094744,0.00290382487572969,0.018175947378016
"6","6",0.051046909865608,0.0297832476993202,0.748188435854796,0,0.170981406580276,0,0
"7","7",0,0,0.802447327859641,0,0.171504544514202,0.0260481276261577,0
"8","8",0.0309041259637575,0.0490007350495257,0.865391477146739,0,0.0435394361177018,0.0111642257222764,0
"9","9",0.777433889778943,0.0537458329394531,0,0,0.168820277281604,0,0
"10","10",0.092048593376784,0,0.569207472962309,0.204877905249937,0.0844498639254263,0.031411456297501,0.0180047081880434
"11","11",0.00417700424729793,0,0.939485759839061,0,0.041327606165512,0.0150096297481291,0
"12","12",0.212980163485473,0.118350098600463,0.267396074148751,0.183777895494617,0.159639813588448,0.0578559546822485,0
"13","13",0.157179520018224,0.0991550002210093,0.375950117127109,0.149663447097762,0.189200050283969,0.0288518652519277,0
"14","14",0.336743511816261,0.179325136321744,0,0,0.483931351861995,0,0
"15","15",0,0.011669991009517,0.81554781105535,0,0.127727962548165,0.0450542353869687,0
"16","16",0.709662579714622,0.0664424901081447,0,0,0.223894930177233,0,0
"17","17",0.0504108689960047,0,0.512830661496276,0.267341355663878,0.0785976608690222,0.090819452974819,0
"18","18",0.134454402986399,0.00689868818629909,0.735932207989021,0,0.079107839855475,0.0436068609828062,0
"19","19",0.07268309127617,0,0.801534881545867,0,0.113563214894581,0.0122188122833811,0
"20","20",0.206470030630671,0.0668246662375279,0.212477937069505,0.274325488546339,0.19550412942454,0.0375845044685564,0.00681324362286121
"21","21",0.200820847471955,0.0161189952249053,0.419885438224397,0.173892849105467,0.145917907430013,0.0433639625432633,0
"22","22",0.0543406227473052,0,0.156688099069637,0.54791634496826,0.165659387606804,0.0753955456079933,0
"23","23",0.359599853384287,0,0.463829754142639,0,0.080185418407657,0.0963849740654163,0
"24","24",0.509804310096379,0.137043020126317,0,0,0.353152669777304,0,0
"25","25",0,0,0.942049282146805,0,0.0531986547690174,0.00475206308417781,0
"26","26",0,0,0.94900274031468,0,0.0471966901990164,0.00380056948630382,0
"27","27",0.0931011001964968,0,0.645572928036994,0.155749926768301,0.0712704223476035,0.0343056226506045,0
"28","28",0.112242941290245,0,0.473363894435139,0.323180631843902,0.0912125324307142,0,0
"29","29",0.0790359067046557,0,0.816916835057705,0,0.0742008615199171,0.0298463967177224,0
"30","30",0.0335500504125714,0,0.882515804069263,0,0.0477703436122089,0.0361638019059563,0
"31","31",0.0172877914516952,0,0.930287382350316,0,0.0317452536520443,0.0206795725459446,0
"32","32",0.015879203524863,0,0.93898247821645,0,0.0398631360173871,0.00527518224129992,0
"33","33",0.349231841093204,0.11454066188073,0,0,0.536227497026066,0,0
"34","34",0.461632325820419,0,0.193316910842628,0.238275892487381,0.0903220704195825,0,0.0164528004299893
"35","35",0,0,0.892785445875549,0,0.103380220035038,0.00383433408941306,0
"36","36",0,0,1,0,-2.109667040628e-19,0,0
"37","37",0,0,0.984290156670832,0,0.0157098433291683,0,0
"38","38",0.0792645060188025,0,0.79961568698768,0,0.119512845716704,0.00160696127681318,0
"39","39",0,0,0.965796781316699,0,0.0342032186833013,0,0
"40","40",0,0,0.866767100642649,0,0.133232899357351,6.28536188135925e-21,0
"41","41",0.136896546625878,0.0633530955732228,0.308367942159202,0.34393377137186,0.0686630820038643,0.0787855622659722,0
"42","42",0.0143428769635945,0,0.621915520455702,0.242139102226476,0.121602500354228,0,0
"43","43",0,0,0.996676161083831,0,4.56102612217279e-20,0.00332383891616927,0
"44","44",0,0,0.991642310490202,0,0.0083576895097977,0,0
"45","45",0.106822950830557,0,0.758702619505866,0,0.105598966154466,0.0288754635091113,0
"46","46",0,0,0.965555100827058,0,0.0344448991729416,0,0
"47","47",0.00154858604306709,0,0.95082022040069,0,0.0377862392955809,0.00984495426066181,0
"48","48",0,0,0.99030262922194,0,0,0.00969737077805993,0
"49","49",0.00726474322183594,0,0.914202221949132,0,0.078533034829032,0,0
"50","50",0,0,0.865669104858242,0,0.134330895141758,0,0
"51","51",0,0,0.967230125800522,0,0.032769874199478,0,0
"52","52",0.43914521251832,0,0,0,0.56085478748168,0,0
"53","53",0.211125219965646,0.0387687441188421,0.192489704827889,0.389404978540128,0.117713193297447,0.050498159250049,0
"54","54",0.0117223405082822,0,0.432522876496093,0.324596761359777,0.137947263977835,0.0932107576580127,0
"55","55",0.0471784788063143,1.22392134317684e-18,0.727538496762903,0,0.141205576272222,0.0840774481585606,0
"56","56",0,0.040371391124298,0.813885436805642,0,0.14574317207006,0,0
"57","57",0,0,0.815599280787984,0,0.152235184704665,0.0321655345073502,0
"58","58",0,0,0.813237870920411,0,0.159408052871782,0.0273540762078071,0
"59","59",0,0,0.878471820423904,0,0.11373141316588,0.0077967664102166,0
"60","60",0,0,0.97686841917882,0,0,0.0231315808211799,0
"61","61",0,0,0.967373916292074,0,0.00190158526002594,0.0307244984478995,0
"62","62",0,0,0.939444968593922,0,0.0557184603908322,0.00483657101524556,0
"63","63",0,0,0.993125870179353,0,0.0068741298206473,0,0
"64","64",0,0,0.972602532303003,0,0.0159536631447267,0.0114438045522702,0
"65","65",0,0,0.947068496555734,0,0.0423853200797626,0.0105461833645033,0
"66","66",0,0,0.924680642383837,0,0.06974499030472,0.00557436731144308,0
"67","67",0.180096800043548,0.0584214995594733,0.388850141871582,0.212262174664821,0.124835676464782,0.0355337073957942,0
"68","68",0.15258924123749,0,0.697814388275326,0,0.128486371624692,0.0211099988624921,0
"69","69",0.0415389951401284,0,0.78944172761329,0,0.0593788692345985,0.109640408011983,0
"70","70",0.0336841305758076,0,0.786297287105784,0,0.120588268511689,0.059430313806719,0
"71","71",0,0,0.96970777695133,0,7.36534286068048e-06,0.0302848577058095,0
"72","72",0,0,0.95217458366244,0,0.0478254163375601,0,0
"73","73",0,0,0.932428781891979,0,0.0675712181080212,0,0
"74","74",0,0,0.852661830419627,0,0.110008765702517,0.0373294038778563,0
"75","75",0,0,0.977667819735311,0,0.022332180264689,0,0
"76","76",0,0,0.981779233212447,0,0.018220766787553,0,0
"77","77",0,0,0.970995917171682,0,0.0208310458035306,0.00817303702478698,0
"78","78",0,0,0.991689134728352,0,0.00831086527164774,0,0
"79","79",0,0,0.976339772472528,0,0.0236602275274724,0,0
"80","80",0,0,0.994116156045807,0,-9.30072586528434e-20,0.00588384395419247,0
"81","81",0,0,0.949960498464736,0,0.0397746414462142,0.0102648600890503,0
"82","82",0.0490637757135736,0,0.834063219849235,0,0.0935045893744135,0.0233684150627779,0
"83","83",0.135443082866736,0.0391967906583759,0.241714286828322,0.392853718633426,0.16405421169877,0.0267379093143694,0
"84","84",0.109360891469763,0,0.704934179213971,0,0.122493863510643,0.0632110658056235,0
"85","85",0.0565690073886239,0,0.646397804159844,0.19813562995496,0.0419906287481555,0.0569069297484165,0
"86","86",0.0126051015077271,3.01912715545248e-06,0.780925634408984,0,0.203969882401753,0.00249636255438086,0
"87","87",0,0.00173504356062564,0.850842539428529,0,0.128950249245152,0.0184721677656927,0
"88","88",0,0,0.926524969091626,0,0.0663533669009799,0,0.00712166400739371
"89","89",0,0,0.880114288337475,0,0.119885711662524,0,0
"90","90",0,0,0.925010036431718,0,0.0749899635682821,0,0
"91","91",0,0,0.955978317088363,0,0.0440216829116366,0,0
"92","92",0,0,0.991539990877725,0,0.00846000912227496,0,0
"93","93",0,0,0.986927927232832,0,0.0130720727671681,0,0
"94","94",0,0,0.946764487813021,0,0.0335939852125597,0.0196415269744196,0
"95","95",0,0,0.975355615775622,0,0.0246443842243775,0,0
"96","96",0,0,0.967152138356793,0,0.0328478616432066,0,0
"97","97",0.026793454517002,0,0.926971959913076,0,0.0462345855699217,0,0
"98","98",0.267279929476574,0,0.452447580262455,0.165392034390895,0.0792312702763792,0.03170686007294,0.00394232552075645
"99","99",0.0233584150177649,0,0.406377851876916,0.398072246789122,0.113161171628693,0.0590303146875042,0
"100","100",0.0614551983597807,0.0111205182519575,0.600818554806227,0.156905588430069,0.106577044339565,0.0631230958124011,0
"101","101",0.135753515444184,0,0.547216296078451,0.185270560844909,0.0533928354058592,0.0783667922265962,0
"102","102",0.144048821853822,0.0236220925167295,0.179749981151251,0.364162513655985,0.176785527559128,0.0927451911656417,0.0188858720974421
"103","103",0.102788240941382,0,0.567672573728763,0.19114462046563,0.0990006767098711,0.0393938881543546,0
"104","104",0,0,0.87731465009696,0,0.068172201991961,0.0545131479110786,0
"105","105",0,0,0.82112234620006,0,0.17887765379994,0,0
"106","106",0,0,0.968289985028744,0,0.0317100149712557,0,0
"107","107",0,0,1,0,0,0,0
"108","108",0,0,0.997934684796097,0,0.00206531520390324,0,0
"109","109",0,0,0.986817235847714,0,0.0131827641522862,0,0
"110","110",0,0,0.99846132218348,0,0.00153867781652024,0,0
"111","111",0,0,0.993267821285119,0,0.00673217871488136,0,0
"112","112",0,0,0.949430934880955,0,0.0505690651190453,0,0
"113","113",0,0,0.997294111198935,0,0.002705888801065,0,0
"114","114",0,0,1,0,0,0,0
"115","115",0.0137288568207156,0,0.909478618693162,0,0.0767925244861223,0,0
"116","116",0.148353393850374,0.0430550015974955,0.514702483453496,0.145593719282518,0.137974697934036,0.0103207038820805,0
"117","117",0.0486950392802131,0,0.461383127890684,0.371907928781145,0.0730740613576432,0.044939842690315,0
"118","118",0.0384728582539585,0,0.490411288077851,0.226880062884046,0.130366438703606,0.113869352080538,0
"119","119",0.134267849456008,0.0525199967281837,0.598901795319153,0,0.138048715207152,0.063660620865382,0.0126010224241219
"120","120",0.167647480667423,0,0.282648411764678,0.30022729448337,0.111142424682983,0.138334388401546,0
"121","121",0.216422280905606,0,0.388949700264349,0.206917709449868,0.120770978890617,0.0669393304895604,0
"122","122",0.195819643550153,0.0403829405330294,0.167003858603012,0.359357891054062,0.138863866332122,0.0985717999276209,0
"123","123",0.201885935436142,0,0.164249215196478,0.372639486381,0.111826048082578,0.132870905132632,0.0165284097711693
"124","124",0.150966028432441,0,0.449553685083493,0.227961271404629,0.135373322067168,0.0361456930122688,0
"125","125",0,0,0.806383155097492,0,0.190856735272809,0,0.00276010962969956
"126","126",0,0,0.795909841695678,0,0.0172139693966398,0.186876188907682,0
"127","127",0,0,0.992631450558033,0,0.00736854944196694,3.76260353424535e-20,0
"128","128",0,0,0.968943004685181,0,0.0277892334077337,0.00326776190708496,0
"129","129",0,0,1,0,0,0,0
"130","130",0,0,1,0,0,0,0
"131","131",0,0,0.993800410960542,0,5.25479395760469e-05,0.00614704109988234,0
"132","132",0,0,1,0,0,0,0
"133","133",0,0,0.96005546056895,0,0.0399445394310505,0,0
"134","134",0,0,0.987015485620864,0,0.0110353587295556,0.00194915564958006,0
"135","135",0,0,0.992239224143025,0,0.00776077585697464,1.95035694306716e-18,0
"136","136",0,0,0.911962361642277,0,0.0820295598792848,0.00600807847843831,0
"137","137",0.334658481501674,0.0721206112457797,0.165605932265395,0.215737164628929,0.157649045878507,0.0542287644797166,0
"138","138",0.0258532453005032,0,0.553398397714557,0.256215565391051,0.098523943580246,0.0660088480136428,0
"139","139",0.0962722232904807,0,0.588887190292405,0.214130455952058,0.0951168553968541,0.00559327506820272,0
"140","140",0.103449199210271,0,0.272953787631977,0.423239232696634,0.0962500886395964,0.104107691821521,0
"141","141",0.177259921539315,0,0.391400334002638,0.309812315293167,0.0886643348129934,0.032863094351886,0
"142","142",0,0,0,0,0,0,0
"143","143",0.2479102892529,0,0.250246713213946,0.341648973662086,0.0646055723894216,0.0955884514816472,0
"144","144",0.181851834557799,0,0.407037704216551,0.26055100295945,0.107651276071793,0.042908182194406,0
"145","145",0.157440253549185,0,0.0531959759145226,0.371825671332473,0.157985879820327,0.22758204383507,0.0319701755484226
"146","146",0.163027763686866,0,0.48159725304681,0.194904792642971,0.0760587418023725,0.0844114488209799,0
"147","147",0.0667368167725107,0.0256444019800805,0.302759109961822,0.441418857258834,0.0738173702462633,0.0896234437804895,0
"148","148",0.101760154730761,0,0.148323772896562,0.502988666333554,0.121113250745466,0.125814155293657,0
"149","149",0.0574147363747791,0.0202903274822466,0.305914840837064,0.509744293475007,0.0207855587070304,0.0858502431238727,0
"150","150",0,-2.95390155983e-18,0.758409653321941,0,0.241590346678059,0,0
"151","151",0,0,0.984396466124499,0,0.0156035338755014,0,0
"152","152",0,0,1,0,0,0,0
"153","153",0,0,0.956611633154996,0,0.0433883668450039,0,0
"154","154",0,0,0.977379252556357,0,0.0226207474436429,0,0
"155","155",0,0,0.989490187540162,0,0.00616824507329481,0.00434156738654302,0
"156","156",0,0,1,0,0,0,0
"157","157",0,0,1,0,0,0,0
"158","158",0.55186147236947,0.0603761983619918,0,0,0.387762329268538,0,0
"159","159",0.0422553819186261,0,0.901096741629962,0,0.056647876451412,0,0
"160","160",0.00813021568779398,0,0.834752871616373,0,0.117347273175963,0.0397696395198693,0
"161","161",0.133864839940389,0.117076877384722,0.220558493479467,0.284605671205995,0.10252204349634,0.131194034641685,0.0101780398514018
"162","162",0.0106243110393547,0,0.603066990043387,0.196491719829688,0.0683434471375622,0.121473531950008,0
"163","163",0.0451882014923666,0,0.353661450153998,0.233804011359103,0.0644928604010038,0.302853476593528,0
"164","164",0.105727492338002,0,0.386226982872332,0.339229100483786,0.164023769679312,0.00479265462656782,0
"165","165",0.154982839631465,0,0.423965250983937,0.201434951813956,0.0858803696124153,0.133736587958227,0
"166","166",0.553925200204716,0.150797034937838,0,0,0.295277764857447,0,0
"167","167",0.382708762551412,0.0384226368146038,0.149671521441009,0.26004776206777,0.0800268612195546,0.0572841118543309,0.0318383440513189
"168","168",0.21627856854732,0.11976835620191,0.257515436660018,0.276504911285672,0.074851100746465,0.0550816265586144,0
"169","169",0.166254726991453,0.0916717439770017,0.274222555765472,0.243655573235434,0.11633683218928,0.107858567841359,0
"170","170",0.213857248322571,0,0.377523393931283,0.258328520186019,0.0993262727088589,0,0.0509645648512683
"171","171",0.196726183623853,0.00866268891048794,0.243141637012276,0.416131642961375,0.0301683101801688,0.105169537311839,0
"172","172",0.129328101795233,0,0.203899205788661,0.474214325501197,0.100698960889498,0.0716955999261219,0.0201638060992894
"173","173",0.13999961376213,0,0.269224857829228,0.457837626204598,0.0730217447269632,0.0599161574770802,0
"174","174",0,0,1,0,0,0,0
"175","175",0,0,0.969259373023375,0,0.0307406269766252,3.67512743324585e-21,0
"176","176",0,0,1,0,-2.43378150783434e-21,0,0
"177","177",0,0,0.960773956406902,0,0.0392260435930985,0,0
"178","178",0,0,1,0,0,0,0
"179","179",0,0,0.92876681670352,0,0.0712331832964802,0,0
"180","180",0,0,0.977603018360895,0,0.0223969816391051,0,0
"181","181",0,0,0.957391615561171,0,0.0268572916249875,0.0157510928138412,0
"182","182",0.550692309313825,0.0293394380885075,0,0,0.414470065397852,0,0.00549818719981567
"183","183",0.180546798003537,0.0779296929904803,0.305842588993538,0.0839020023461046,0.262783521644997,0.0724595045583581,0.0165358914629855
"184","184",0.151326180740314,0.0714630377551099,0.262306801794606,0.330688671087047,0.114164910235308,0.0700503983876158,0
"185","185",0.100954842160609,0.0519745740369158,0.240859545418083,0.383588735043365,0.0934503166579007,0.129171986683127,0
"186","186",0,0,0.649536688165713,0.281429808226477,0.0690335036078096,0,0
"187","187",0.120727856129225,0,0.425725256168261,0.233756831204499,0.0655637840170677,0.154226272480946,0
"188","188",0.320360194038263,0,0.267670570388264,0.281415771875255,0.130553463698217,0,0
"189","189",0.410774530256704,0.101061551875327,0.0318558750744153,0.243075123696645,0.145450687412927,0.0677822316839821,0
"190","190",0.54047607818534,0.191606876901444,0,0,0.267917044913215,0,0
"191","191",0.724907901049302,0.0953634644713784,0,0,0.179728634479319,0,0
"192","192",0.264339527960617,0.0294514967468372,0.251091420814814,0.359203828669781,0.0319309086149493,0.0639828171930011,0
"193","193",0.610775299597032,0,0,0,0.389224700402968,0,0
"194","194",0.573836060501751,0,0,0,0.426163939498249,0,0
"195","195",0.255989513479125,0.0152915578586711,0.31020147953911,0.323325980388951,0.0551842131806798,0.0400072555534628,0
"196","196",0.0902763292509482,0,0.468817765129775,0.258869377371779,0.0651404665493185,0.116896061698179,0
"197","197",0,0,0.968815582217275,0,0.0311844177827251,0,0
"198","198",0,0,0.884594226132497,0,0.115405773867503,0,0
"199","199",0,0,0.936526279793009,0,0.0634737202069915,-6.21088723479274e-20,0
"200","200",0,0,1,0,0,0,0
"201","201",0,0,0.943971307171499,0,0.0540435030331389,0.00198518979536166,0
"202","202",0,0,0.983283144902295,0,0.0167168550977052,0,0
"203","203",0,0,0.989249320726256,0,0.0107506792737442,0,0
"204","204",0.384652356304552,0.0767465844389559,0,0,0.512577000670387,0,0.0260240585861043
"205","205",0.224598840811902,0.0630208768273782,0.337658888062879,0.241353496922386,0.0980277594952138,0.0353401378802415,0
"206","206",0.0475485885063568,0,0.49560863007883,0.314887591057001,0.0868287082658872,0.0551264820919254,0
"207","207",0.00604933297192998,0,0.406170079468136,0.431997685550679,0.0539089988141668,0.101873903195089,0
"208","208",0.0345941484362757,0,0.497362842675774,0.356487482706448,0.0364180407636188,0.0620218016865598,0.0131156837313235
"209","209",0.0563473605753378,0.0238549351391843,0.443632646507555,0.35835305852611,0.0882200197063235,0.0295919795454893,0
"210","210",0.184292194089651,0,0.449756196694768,0.239695445869593,0.0641688598093603,0.0620873035366275,0
"211","211",0.218304300895156,0.0557987707525873,0.0993621532408024,0.367348201962049,0.139533360454961,0.108535283583006,0.0111179291114394
"212","212",0.306265806616199,0,0.238974670258906,0.306841282423233,0.0458368543561319,0.102081386345531,0
"213","213",0.810169639864141,0.0502098432000607,0,0,0.139620516935798,0,0
"214","214",0.868600573881172,0,0,0,0.131399426118828,0,0
"215","215",0.164818054989693,0,0.222292599793512,0.274101118141492,0.0952880191940085,0.219438601505217,0.0240616063760781
"216","216",0.637229654132908,0,0,0,0.362770345867092,0,0
"217","217",0.974245288482045,0,0,0,0.0257547115179547,0,0
"218","218",0.93525728755024,0,0,0,0.0647427124497606,0,0
"219","219",0,0,0.862267778733708,0,0.129789547445444,0.00794267382084794,0
"220","220",0,0,1,0,-1.41178717696181e-18,2.6840172247253e-20,0
"221","221",0,0,1,0,0,0,0
"222","222",0,0,1,0,0,0,0
"223","223",0,0,1,0,0,0,0
"224","224",0,0,0.744921898645192,0,0.135871806904833,0.10624838944528,0.0129579050046952
"225","225",0.186280371834019,0.00137530609437501,0.320514874016585,0.231227794431746,0.151457353891258,0.109144299732018,0
"226","226",0.0791874259447927,0.0624172495812838,0.248317241008311,0.312305442805425,0.107275218155413,0.190497422504775,0
"227","227",0.0796311616414931,0.147890092288519,0.252189970442639,0.277328673983603,0.138484477586762,0.104475624056984,0
"228","228",0.0710016095386998,0,0.356086654245933,0.241131247691557,0.219928927081044,0.111851561442766,0
"229","229",0.0245034727739003,0,0.50106891504736,0.251370857859671,0.114523319115299,0.10853343520377,0
"230","230",0.0301772708075781,0,0.343793106489095,0.453392403539305,0.126004128053837,0.0466330911101852,0
"231","231",0.254866131928755,0.0503852887971924,0.219636378068919,0.259369359799195,0.0469700120207594,0.155217977132938,0.0135548522522421
"232","232",0.699035250781078,0,0,0,0.300964749218922,0,0
"233","233",0.970228345228639,0,0,0,0.0297716547713607,0,0
"234","234",0.971569506439919,0,0,0,0.0284304935600805,0,0
"235","235",0.445411961270555,0.407839654747652,0,0,0.146748383981793,0,0
"236","236",0.0830155750612182,0.450708860495196,0.0908339377353133,0.117863712004199,0.140841577078254,0.116736337625819,0
"237","237",0.153722700995194,0.157709928939565,0,0,0.3720995533627,0,0.316467816702541
"238","238",0.169664372335228,0.117026051933921,0.541874246127878,0.0590142721729014,0,0.112421057430072,0
"239","239",0,0.0202207451043564,0.848594655131678,0,0.114495393858945,0.0166892059050206,0
"240","240",0,0,0.988201313767455,0,0.00668809814502912,0.00511058808751553,0
"241","241",0,0,0.969366449474765,0,0.0306335505252346,0,0
"242","242",0,0,0.969902254020541,0,0.0300977459794588,0,0
"243","243",0.296109077075763,0.00602566087198581,0.398906100636017,0.118923610839829,0.114045720611987,0.0302188463001901,0.0357709836642279
"244","244",0.071613481065693,0.00780665653367453,0.605293027347874,0.181021189840653,0.0606184126859859,0.0652951714317994,0.00835206109432031
"245","245",0.0837042190011738,0,0.531315716438915,0.16750982716305,0.139794105135018,0.0776761322618424,0
"246","246",0.0609760541564286,0.0585540902008457,0.376670297409159,0.284015486972587,0.136283226231572,0.0653746300758895,0.0181262149535181
"247","247",0.00723872759119727,0,0.507609209502227,0.369523569464099,0.073168541206961,0.0424599522355164,0
"248","248",0.0399270007698611,0.0580303789698211,0.259361421969079,0.40093712328077,0.150326535664187,0.0914175393462815,0
"249","249",0.0122716280212872,0,0.388302697739076,0.372322162383064,0.0839687787445967,0.109124134789386,0.0340105983225894
"250","250",0.128815853361348,0,0.529988163779936,0.204857133046654,0.0543949409847015,0.0819439088273611,0
"251","251",0.201009588267524,0,0.190967706855088,0.242815762146909,0.143870824141831,0.20407636334595,0.017259755242698
"252","252",1,0,0,0,0,0,0
"253","253",0.884899364421387,0.00489110962257289,0,0,0.11020952595604,0,0
"254","254",0.238237475277202,0.544870990354524,0,0,0.216891534368274,0,0
"255","255",0.547644152171104,0.210099138696262,0,0,0.242256709132634,0,0
"256","256",0.458179164614863,0.299174080267664,0,0,0.242646755117472,0,0
"257","257",0.166505637800152,0,0.526925502930015,0,0.183956446960749,0.122612412309084,0
"258","258",0.000367758358001497,0,0.550473968504229,0,0.362711836884931,0.0864464362528386,0
"259","259",0,0,0.917807272076809,0,0.00213964966641488,0.0800530782567759,0
"260","260",0.0760000088609864,0.0193828907679806,0.786668428338951,0,0.0570671753008528,0.0608814967312288,0
"261","261",0.0457692487953851,0,0.335393770935522,0.173791880540868,0.0985122248807071,0.342839673633231,0.00369320121428653
"262","262",0.0970087348616182,0,0.302197938832829,0.315732208147791,0.162593342526011,0.12246777563175,0
"263","263",0.0327410270399463,0.0729071987961094,0.333456831195665,0.391765431257496,0.100194160629393,0.0689353510813903,0
"264","264",0.034174522937797,0.000229789112441183,0.807597343153362,0.130057961744713,0.0279403830516862,0,0
"265","265",0.0100211612094117,0.0102213654062465,0.547488399719276,0.322840586509853,0.0480078095427667,0,0.0614206776124461
"266","266",0.02242811508194,0,0.463274692885492,0.380309239237775,0.0270387871578659,0.101434697862034,0.00551446777489278
"267","267",0.00469022036526165,0.053028536344588,0.648681473944209,0.203643982894004,0.0899557864519382,0,0
"268","268",0.223595100949306,0.0394031386769975,0.135144492749482,0.2695201113944,0.156861460725986,0.149319418208026,0.0261562772958017
"269","269",1,0,0,0,0,0,0
"270","270",0.529365463069782,0.343095310639334,0,0,0.127539226290884,0,0
"271","271",0.306123896865405,0.573467391370679,0,0,0.120408711763916,0,0
"272","272",0.93718813908661,0.00697729070207488,0,0,0.0462049084475602,0,0.00962966176375444
"273","273",0.0840630458842448,0,0.634489852846664,0,0.115449197941241,0.165997903327851,0
"274","274",0,0,0.335269919595752,0.521563873341274,0.0638386191674183,0.0793275878955552,0
"275","275",0.174181951245776,0,0.678129173308473,0,0.10829770415426,0.0393911712914918,0
"276","276",0.0831776285719176,0.0443888415797214,0.399736842995527,0.290670412821321,0.0776320526416144,0.104394221389899,0
"277","277",0.0252462483264605,0,0.285487443587107,0.518581161215671,0.0726867926174178,0.097998354253343,0
"278","278",0.0237000918927522,0,0.544591029455308,0.366113112062342,0.0655957665895983,0,0
"279","279",0.0990946158869011,0,0.291246282412019,0.515570977744341,0.0940881239567392,0,0
"280","280",0.0497392332171306,0,0.213489863135144,0.604445345597181,0.0577564957592658,0.0745690622912785,0
"281","281",0.0384226838480779,0.103110320115107,0.558796494995735,0.237028290239394,0.0177885549732348,0.0448536558284524,0
"282","282",0.0644330625081793,0,0.121709904340634,0.523241932547444,0.0402460035303454,0.245554667227711,0.00481442984568596
"283","283",0.878428073907359,0.0657701176522681,0,0,0.055801808440373,0,0
"284","284",0.629720657867934,0.177904242956221,0,0,0.192375099175845,0,0
"285","285",0.301592689150186,0.126088004235792,0.404871760197479,0.164060224983652,0,0.00338732143289079,0
"286","286",0,0,0.838217980938773,0,0.0995223225894578,0.0622596964717696,0
"287","287",0,0.0273946035759316,0.404713141294748,0.323878816348019,0.0876444847149098,0.156368954066391,0
"288","288",0.0850480977167319,0,0.40341980028159,0.373512590831558,0.0814809859142432,0.0565385252558769,0
"289","289",0.130095986004425,0,0.56643816123831,0.170805059390104,0.105987053417729,0.0266737399494319,0
"290","290",0.0624651233438108,0,0.785033948482036,0,0.0751811922349464,0.0703171943853168,0.00700254155388979
"291","291",0.192793875065121,0.0756420156197609,0.200427320974449,0.40377044402651,0.120883622308076,0.00648272200608272,0
"292","292",0.85877696016207,0,0,0,0.14122303983793,0,0
"293","293",0.872662028581301,0,0,0,0.127337971418699,0,0
