,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
16400_34800,3.70E-03,4.24E-02,3.55E-01,1.37E-02,5.54E-02,5.86E-03,1.77E-01,4.20E-03,6.81E-02,1.76E-01,9.80E-02
16400_35600,7.91E-03,4.08E-02,2.93E-01,2.15E-02,7.51E-02,1.35E-02,3.06E-01,1.12E-02,3.71E-02,1.07E-01,8.59E-02
16400_36400,6.79E-03,2.94E-02,2.78E-01,1.88E-02,4.81E-02,1.59E-02,3.42E-01,7.82E-03,4.46E-02,1.34E-01,7.48E-02
16400_37200,9.32E-03,2.44E-02,1.48E-01,2.43E-02,3.72E-02,2.91E-02,4.74E-01,1.27E-02,3.91E-02,1.47E-01,5.47E-02
16400_38000,3.11E-02,2.61E-02,1.80E-01,3.88E-02,3.80E-02,7.22E-02,3.91E-01,2.25E-02,6.35E-02,8.78E-02,4.96E-02
16400_38800,1.50E-02,2.18E-02,1.64E-01,3.52E-02,3.18E-02,6.59E-02,4.29E-01,1.45E-02,3.71E-02,1.28E-01,5.80E-02
16400_39600,5.92E-02,2.88E-02,1.63E-01,5.08E-02,3.38E-02,1.53E-01,2.24E-01,1.66E-02,5.96E-02,1.27E-01,8.44E-02
16400_40400,1.18E-01,5.18E-02,1.83E-01,5.75E-02,4.66E-02,3.74E-02,1.62E-01,6.25E-03,7.76E-02,8.56E-02,1.74E-01
16400_41200,9.01E-02,9.96E-02,2.09E-01,1.82E-02,4.26E-02,1.07E-02,1.62E-02,1.60E-03,2.14E-01,5.21E-02,2.47E-01
16400_42000,1.02E-01,6.92E-02,1.64E-01,7.17E-03,3.23E-02,7.84E-03,2.52E-02,7.34E-04,8.36E-02,1.32E-01,3.76E-01
17200_20400,4.50E-02,6.57E-02,6.97E-02,4.25E-02,2.91E-02,2.39E-02,8.21E-02,4.47E-03,2.99E-01,2.01E-01,1.38E-01
17200_21200,1.14E-02,6.94E-02,3.10E-02,2.70E-02,1.56E-02,6.90E-03,3.55E-02,1.56E-03,5.93E-01,9.66E-02,1.12E-01
17200_22000,4.02E-02,8.04E-02,1.14E-01,6.75E-02,4.32E-02,2.49E-02,8.46E-02,9.29E-03,3.91E-01,6.49E-02,8.09E-02
17200_22800,1.47E-02,4.09E-02,5.94E-02,4.42E-02,1.62E-02,2.45E-02,8.90E-02,5.62E-03,5.90E-01,7.26E-02,4.27E-02
17200_23600,5.74E-03,2.18E-02,2.53E-02,1.83E-02,7.06E-03,7.13E-03,4.50E-02,1.92E-03,7.99E-01,4.81E-02,2.11E-02
17200_24400,4.71E-02,3.00E-02,8.86E-02,5.79E-02,2.03E-02,1.61E-01,6.99E-02,5.84E-03,9.48E-02,3.11E-01,1.14E-01
17200_25200,2.58E-02,4.59E-02,1.49E-01,4.37E-02,5.32E-02,5.37E-02,2.04E-01,1.58E-02,8.04E-02,2.42E-01,8.68E-02
17200_26000,2.92E-02,4.91E-02,1.86E-01,3.60E-02,4.18E-02,2.09E-02,8.86E-02,7.04E-03,3.17E-01,1.61E-01,6.33E-02
17200_26800,4.92E-02,1.52E-01,1.84E-01,4.61E-02,8.93E-02,1.76E-02,5.62E-02,8.55E-03,7.79E-02,1.09E-01,2.10E-01
17200_27600,9.23E-02,3.31E-02,1.37E-01,1.22E-01,2.56E-02,1.60E-01,1.14E-01,1.45E-02,7.68E-02,1.52E-01,7.32E-02
17200_28400,1.67E-02,4.38E-02,1.80E-01,5.75E-02,4.47E-02,6.82E-02,3.08E-01,2.42E-02,6.16E-02,1.14E-01,8.20E-02
17200_29200,1.24E-01,2.57E-02,1.56E-01,6.94E-02,3.18E-02,2.28E-01,1.06E-01,1.80E-02,5.66E-02,1.22E-01,6.29E-02
17200_30000,2.44E-02,4.40E-02,4.31E-01,3.59E-02,7.14E-02,3.30E-02,1.37E-01,1.27E-02,4.88E-02,8.46E-02,7.81E-02
17200_30800,6.08E-02,3.59E-02,2.94E-01,4.48E-02,4.78E-02,8.02E-02,1.49E-01,1.42E-02,1.05E-01,9.33E-02,7.47E-02
17200_31600,3.44E-02,2.89E-02,4.53E-01,3.72E-02,5.30E-02,4.97E-02,1.44E-01,1.09E-02,4.00E-02,8.88E-02,6.04E-02
17200_32400,1.41E-02,4.13E-02,4.38E-01,2.35E-02,6.67E-02,1.80E-02,1.54E-01,8.56E-03,4.78E-02,1.07E-01,8.09E-02
17200_33200,2.45E-02,2.55E-02,3.76E-01,3.01E-02,4.74E-02,3.90E-02,2.37E-01,1.01E-02,4.00E-02,1.17E-01,5.37E-02
17200_34000,6.43E-03,3.04E-02,4.84E-01,1.62E-02,4.84E-02,1.11E-02,1.74E-01,4.54E-03,5.18E-02,1.01E-01,7.20E-02
17200_34800,4.06E-02,4.07E-02,2.88E-01,3.15E-02,7.85E-02,4.21E-02,2.28E-01,2.09E-02,5.23E-02,9.84E-02,7.94E-02
17200_35600,7.70E-03,2.57E-02,2.44E-01,2.27E-02,4.49E-02,2.17E-02,4.25E-01,1.03E-02,3.93E-02,9.96E-02,5.89E-02
17200_36400,1.73E-02,3.09E-02,1.91E-01,3.56E-02,4.75E-02,4.38E-02,4.10E-01,2.04E-02,5.45E-02,8.95E-02,6.03E-02
17200_37200,1.26E-02,1.72E-02,1.62E-01,2.52E-02,2.82E-02,4.12E-02,5.39E-01,1.29E-02,3.50E-02,8.35E-02,4.31E-02
17200_38000,1.37E-02,2.40E-02,1.30E-01,2.78E-02,3.37E-02,3.77E-02,4.80E-01,1.52E-02,5.82E-02,1.39E-01,4.07E-02
17200_38800,9.19E-02,2.59E-02,1.64E-01,5.11E-02,3.01E-02,1.55E-01,1.93E-01,1.42E-02,9.88E-02,1.08E-01,6.76E-02
17200_39600,1.71E-01,6.37E-02,1.05E-01,6.02E-02,3.11E-02,4.72E-02,1.26E-01,4.45E-03,8.61E-02,1.04E-01,2.02E-01
17200_41200,2.02E-01,3.72E-02,2.99E-01,1.23E-02,4.17E-02,2.27E-02,5.87E-02,2.37E-03,5.64E-02,1.06E-01,1.62E-01
18000_20400,3.53E-02,6.13E-02,5.09E-02,4.74E-02,1.83E-02,2.34E-02,7.01E-02,3.76E-03,5.02E-01,9.63E-02,9.15E-02
18000_21200,4.17E-02,3.18E-02,1.23E-01,4.12E-02,2.34E-02,4.30E-02,2.31E-01,6.90E-03,3.00E-01,1.08E-01,5.05E-02
18000_22000,5.09E-02,7.93E-02,4.99E-02,6.14E-02,1.93E-02,2.83E-02,7.80E-02,3.97E-03,3.59E-01,1.40E-01,1.29E-01
18000_22800,1.96E-02,4.41E-02,5.75E-02,2.26E-02,2.11E-02,2.08E-02,5.87E-02,3.08E-03,4.08E-01,2.50E-01,9.52E-02
18000_23600,2.08E-03,1.96E-02,8.50E-03,8.50E-03,2.89E-03,1.58E-03,5.50E-03,3.32E-04,9.09E-01,2.24E-02,2.01E-02
18000_24400,7.63E-02,5.64E-02,1.59E-01,9.25E-02,5.00E-02,9.42E-02,1.34E-01,2.18E-02,1.33E-01,1.21E-01,6.10E-02
18000_25200,3.82E-02,2.00E-02,2.04E-01,1.33E-02,4.30E-02,2.77E-02,1.83E-01,6.33E-03,2.26E-02,3.87E-01,5.49E-02
18000_26000,9.69E-02,6.16E-02,1.55E-01,1.04E-01,4.64E-02,1.03E-01,1.32E-01,2.26E-02,9.45E-02,8.78E-02,9.69E-02
18000_26800,8.85E-02,1.08E-01,3.36E-02,4.57E-02,2.17E-02,3.52E-02,2.18E-02,2.51E-03,1.05E-01,1.64E-01,3.73E-01
18000_27600,1.05E-01,9.49E-02,1.05E-01,1.28E-01,3.94E-02,8.37E-02,7.10E-02,1.31E-02,1.12E-01,8.27E-02,1.66E-01
18000_28400,5.33E-02,3.56E-02,2.81E-01,4.79E-02,6.09E-02,6.85E-02,2.10E-01,2.31E-02,8.66E-02,8.21E-02,5.12E-02
18000_29200,9.88E-02,4.35E-02,2.20E-01,6.70E-02,5.34E-02,9.79E-02,1.46E-01,1.65E-02,3.59E-02,1.04E-01,1.17E-01
18000_30000,3.35E-02,3.09E-02,4.70E-01,4.12E-02,6.49E-02,4.89E-02,1.37E-01,1.30E-02,3.18E-02,5.65E-02,7.20E-02
18000_30800,1.82E-02,2.40E-02,5.61E-01,1.37E-02,5.18E-02,1.48E-02,1.26E-01,4.59E-03,3.20E-02,9.24E-02,6.14E-02
18000_31600,2.91E-02,3.05E-02,4.92E-01,3.02E-02,5.34E-02,3.47E-02,1.18E-01,8.21E-03,3.64E-02,1.04E-01,6.31E-02
18000_32400,2.87E-02,2.59E-02,4.62E-01,2.04E-02,6.29E-02,2.69E-02,1.76E-01,8.65E-03,2.66E-02,9.15E-02,7.09E-02
18000_33200,1.24E-02,3.22E-02,4.51E-01,2.43E-02,5.80E-02,1.99E-02,1.82E-01,7.68E-03,5.52E-02,9.45E-02,6.32E-02
18000_34000,6.36E-03,2.80E-02,3.86E-01,1.70E-02,4.93E-02,1.32E-02,2.78E-01,6.11E-03,4.72E-02,1.03E-01,6.66E-02
18000_34800,2.49E-02,2.32E-02,2.04E-01,3.27E-02,3.96E-02,5.53E-02,4.14E-01,1.75E-02,4.82E-02,9.21E-02,4.79E-02
18000_35600,2.16E-02,2.75E-02,2.52E-01,4.90E-02,3.95E-02,7.31E-02,3.24E-01,1.75E-02,3.58E-02,9.20E-02,6.79E-02
18000_36400,1.74E-02,3.33E-02,1.63E-01,4.14E-02,4.09E-02,7.00E-02,3.54E-01,2.04E-02,6.04E-02,1.22E-01,7.78E-02
18000_37200,1.06E-01,2.59E-02,1.56E-01,4.96E-02,3.16E-02,1.97E-01,1.60E-01,1.56E-02,6.22E-02,1.17E-01,7.93E-02
18000_38000,9.61E-03,1.54E-02,1.46E-01,2.39E-02,2.29E-02,3.97E-02,5.77E-01,1.17E-02,4.72E-02,7.25E-02,3.43E-02
18000_38800,1.10E-01,2.17E-02,2.16E-01,4.13E-02,3.95E-02,1.03E-01,2.34E-01,1.65E-02,5.78E-02,1.09E-01,5.05E-02
18000_39600,1.36E-01,5.23E-02,1.05E-01,8.71E-02,3.54E-02,1.66E-01,6.08E-02,1.46E-02,1.30E-01,9.07E-02,1.22E-01
18000_40400,8.17E-02,9.78E-02,9.67E-02,1.12E-02,2.77E-02,9.66E-03,1.03E-02,6.14E-04,9.83E-02,9.59E-02,4.70E-01
18800_20400,8.87E-03,8.56E-02,3.39E-02,1.88E-02,2.07E-02,4.10E-03,2.75E-02,1.17E-03,3.73E-01,2.22E-01,2.04E-01
18800_21200,3.85E-02,3.61E-02,1.50E-01,2.72E-02,4.51E-02,4.85E-02,2.00E-01,9.96E-03,1.05E-01,2.53E-01,8.68E-02
18800_22000,1.74E-02,1.16E-01,1.31E-02,3.81E-02,9.02E-03,5.21E-03,1.32E-02,4.81E-04,4.41E-01,6.95E-02,2.76E-01
18800_22800,9.69E-02,5.12E-02,1.29E-01,1.01E-01,3.49E-02,1.43E-01,1.17E-01,1.54E-02,7.18E-02,1.25E-01,1.16E-01
18800_23600,8.99E-03,1.32E-01,1.93E-02,2.62E-02,1.41E-02,2.60E-03,1.55E-02,7.16E-04,4.34E-01,1.07E-01,2.40E-01
18800_24400,1.49E-01,4.22E-02,1.43E-01,9.05E-02,3.68E-02,1.81E-01,8.15E-02,1.81E-02,7.22E-02,9.59E-02,9.02E-02
18800_25200,2.31E-02,6.26E-02,3.10E-01,2.91E-02,8.89E-02,2.23E-02,1.25E-01,1.48E-02,9.52E-02,1.30E-01,9.90E-02
18800_26000,2.82E-02,6.82E-02,1.91E-01,2.69E-02,6.73E-02,6.81E-03,1.75E-01,2.77E-03,3.66E-02,5.20E-02,3.45E-01
18800_26800,2.72E-02,4.12E-02,1.87E-01,5.84E-02,4.89E-02,7.55E-02,3.14E-01,3.00E-02,4.14E-02,9.34E-02,8.24E-02
18800_27600,5.62E-02,3.42E-02,2.14E-01,7.12E-02,4.17E-02,1.50E-01,1.52E-01,1.79E-02,4.13E-02,1.37E-01,8.48E-02
18800_28400,5.86E-02,7.31E-02,1.38E-01,7.69E-02,3.97E-02,2.65E-02,1.41E-01,6.63E-03,2.32E-01,5.62E-02,1.51E-01
18800_29200,1.25E-02,2.39E-02,5.20E-01,1.62E-02,4.44E-02,1.84E-02,1.74E-01,5.13E-03,4.85E-02,8.00E-02,5.77E-02
18800_30000,2.99E-02,2.48E-02,4.26E-01,2.68E-02,5.12E-02,3.81E-02,1.98E-01,9.91E-03,7.29E-02,7.49E-02,4.83E-02
18800_30800,6.91E-02,4.08E-02,3.72E-01,4.26E-02,7.87E-02,4.99E-02,1.21E-01,1.63E-02,5.17E-02,8.58E-02,7.22E-02
18800_31600,4.46E-02,2.83E-02,3.62E-01,4.58E-02,4.90E-02,6.87E-02,1.75E-01,1.38E-02,4.89E-02,1.13E-01,5.08E-02
18800_32400,2.45E-02,4.02E-02,3.59E-01,7.72E-02,4.11E-02,8.80E-02,1.27E-01,1.37E-02,6.40E-02,9.89E-02,6.63E-02
18800_33200,6.54E-03,3.15E-02,4.09E-01,1.83E-02,4.87E-02,1.20E-02,2.17E-01,5.53E-03,7.29E-02,1.15E-01,6.39E-02
18800_34000,6.47E-03,2.61E-02,3.52E-01,1.60E-02,4.93E-02,1.39E-02,3.28E-01,6.80E-03,3.88E-02,9.40E-02,6.88E-02
18800_34800,1.52E-02,4.25E-02,2.12E-01,3.21E-02,6.55E-02,2.97E-02,3.23E-01,1.86E-02,4.45E-02,1.35E-01,8.20E-02
18800_35600,7.93E-03,1.84E-02,1.42E-01,2.36E-02,2.64E-02,3.67E-02,5.44E-01,1.13E-02,4.34E-02,1.01E-01,4.60E-02
18800_36400,1.63E-02,2.77E-02,1.77E-01,3.15E-02,4.14E-02,4.19E-02,4.41E-01,1.84E-02,6.26E-02,9.03E-02,5.17E-02
18800_37200,5.85E-02,2.85E-02,1.96E-01,4.74E-02,4.41E-02,8.68E-02,3.04E-01,2.31E-02,5.02E-02,1.02E-01,6.00E-02
18800_38000,2.66E-02,2.84E-02,2.15E-01,5.66E-02,3.95E-02,7.82E-02,3.30E-01,2.09E-02,5.25E-02,1.04E-01,4.84E-02
18800_38800,8.79E-02,2.69E-02,3.92E-02,4.59E-02,1.02E-02,2.77E-01,1.48E-02,1.34E-03,8.16E-02,1.38E-01,2.78E-01
18800_40400,1.51E-01,8.94E-02,9.93E-02,3.86E-02,2.50E-02,4.64E-02,2.60E-02,2.64E-03,1.41E-01,1.33E-01,2.48E-01
19600_25200,7.92E-03,2.62E-02,1.30E-01,2.71E-02,3.27E-02,4.89E-02,4.24E-01,1.23E-02,5.01E-02,1.53E-01,8.76E-02
19600_26000,9.60E-03,9.39E-02,9.73E-02,1.76E-02,5.62E-02,3.57E-03,9.40E-02,1.45E-03,9.71E-03,7.59E-02,5.41E-01
19600_26800,9.43E-03,3.01E-02,2.11E-01,2.10E-02,5.45E-02,1.95E-02,4.32E-01,1.31E-02,4.10E-02,1.01E-01,6.71E-02
19600_27600,1.04E-01,3.25E-02,1.99E-01,8.68E-02,4.46E-02,1.56E-01,1.42E-01,3.21E-02,4.43E-02,1.10E-01,4.92E-02
19600_28400,2.13E-02,2.75E-02,4.13E-01,2.49E-02,5.01E-02,3.18E-02,2.00E-01,8.66E-03,4.91E-02,1.13E-01,6.14E-02
19600_29200,5.87E-02,3.00E-02,2.45E-01,1.00E-01,3.54E-02,1.69E-01,1.39E-01,2.15E-02,3.55E-02,1.12E-01,5.38E-02
19600_30000,2.76E-02,3.05E-02,4.57E-01,1.86E-02,6.04E-02,2.14E-02,1.49E-01,7.59E-03,3.17E-02,1.25E-01,7.01E-02
19600_30800,2.59E-02,3.21E-02,4.85E-01,2.08E-02,7.82E-02,2.13E-02,1.33E-01,8.62E-03,2.83E-02,9.12E-02,7.60E-02
19600_31600,5.52E-02,3.17E-02,3.55E-01,3.88E-02,5.91E-02,6.11E-02,1.75E-01,1.44E-02,3.13E-02,1.04E-01,7.39E-02
19600_32400,1.67E-02,5.21E-02,4.03E-01,2.61E-02,8.51E-02,1.88E-02,1.42E-01,1.20E-02,6.17E-02,8.99E-02,9.25E-02
19600_33200,8.74E-03,3.63E-02,4.30E-01,2.14E-02,6.48E-02,1.49E-02,2.00E-01,7.68E-03,5.07E-02,8.99E-02,7.51E-02
19600_34000,3.23E-02,4.21E-02,2.76E-01,2.91E-02,7.74E-02,3.74E-02,2.32E-01,1.91E-02,5.66E-02,1.11E-01,8.67E-02
19600_34800,1.46E-02,1.93E-02,2.07E-01,2.53E-02,3.61E-02,3.73E-02,4.87E-01,1.31E-02,3.97E-02,7.21E-02,4.92E-02
19600_35600,7.92E-03,2.17E-02,1.63E-01,2.17E-02,3.38E-02,2.88E-02,5.00E-01,1.12E-02,4.72E-02,1.11E-01,5.44E-02
19600_36400,1.21E-02,2.67E-02,1.52E-01,2.99E-02,3.78E-02,3.88E-02,4.79E-01,1.65E-02,4.66E-02,1.07E-01,5.37E-02
19600_37200,2.83E-02,2.67E-02,1.80E-01,4.88E-02,3.81E-02,7.52E-02,3.75E-01,2.24E-02,4.59E-02,1.08E-01,5.16E-02
19600_39600,1.47E-01,6.62E-02,1.89E-01,1.93E-02,4.17E-02,2.24E-02,5.01E-02,3.10E-03,9.95E-02,1.29E-01,2.32E-01
20400_25200,1.69E-02,2.04E-02,1.82E-01,2.61E-02,3.26E-02,4.87E-02,4.92E-01,1.52E-02,4.06E-02,7.46E-02,5.04E-02
20400_26000,1.37E-01,3.96E-02,1.56E-01,8.07E-02,4.19E-02,1.81E-01,9.33E-02,2.26E-02,6.41E-02,9.72E-02,8.67E-02
20400_26800,4.38E-02,3.79E-02,3.39E-01,2.81E-02,7.78E-02,3.91E-02,1.92E-01,1.78E-02,4.80E-02,9.13E-02,8.50E-02
20400_27600,1.97E-02,2.66E-02,4.33E-01,2.70E-02,5.41E-02,3.23E-02,2.17E-01,9.83E-03,5.48E-02,6.82E-02,5.76E-02
20400_28400,6.25E-02,2.65E-02,3.86E-01,2.79E-02,6.11E-02,3.91E-02,2.00E-01,9.23E-03,3.30E-02,5.44E-02,1.00E-01
20400_29200,4.33E-02,2.60E-02,4.69E-01,1.95E-02,6.73E-02,2.73E-02,1.44E-01,8.85E-03,1.93E-02,9.81E-02,7.72E-02
20400_30000,2.44E-02,2.85E-02,5.17E-01,1.61E-02,7.36E-02,1.74E-02,1.39E-01,7.45E-03,3.26E-02,6.87E-02,7.58E-02
20400_30800,8.03E-02,2.75E-02,3.01E-01,5.19E-02,4.71E-02,1.25E-01,1.24E-01,1.52E-02,4.29E-02,1.17E-01,6.87E-02
20400_31600,2.76E-02,3.84E-02,4.04E-01,3.87E-02,5.92E-02,4.77E-02,1.50E-01,1.35E-02,5.66E-02,8.40E-02,8.02E-02
20400_32400,1.17E-02,4.86E-02,3.58E-01,2.59E-02,6.81E-02,1.78E-02,1.83E-01,1.07E-02,8.57E-02,1.06E-01,8.39E-02
20400_33200,4.45E-02,2.98E-02,3.17E-01,4.77E-02,4.90E-02,9.22E-02,2.05E-01,1.91E-02,5.19E-02,7.61E-02,6.77E-02
20400_34000,1.36E-02,3.96E-02,2.70E-01,2.79E-02,6.17E-02,2.54E-02,3.02E-01,1.48E-02,6.73E-02,1.03E-01,7.44E-02
20400_34800,3.26E-02,2.40E-02,1.80E-01,5.51E-02,3.12E-02,1.13E-01,3.29E-01,2.05E-02,5.19E-02,1.11E-01,5.18E-02
20400_35600,2.44E-02,2.59E-02,1.81E-01,3.81E-02,3.84E-02,6.15E-02,4.04E-01,2.11E-02,8.14E-02,7.96E-02,4.53E-02
20400_36400,1.27E-02,3.53E-02,1.61E-01,3.27E-02,4.88E-02,3.28E-02,4.24E-01,1.97E-02,4.73E-02,1.23E-01,6.31E-02
20400_37200,6.86E-02,4.91E-02,1.36E-01,6.95E-02,3.66E-02,1.53E-01,1.33E-01,1.50E-02,1.05E-01,1.14E-01,1.21E-01
20400_38000,1.01E-01,3.37E-02,1.88E-01,6.79E-02,3.35E-02,1.22E-01,1.55E-01,1.36E-02,1.12E-01,9.14E-02,8.16E-02
20400_38800,1.55E-01,5.90E-02,2.59E-01,2.69E-02,4.31E-02,3.45E-02,5.86E-02,3.83E-03,1.05E-01,8.95E-02,1.65E-01
20400_39600,9.15E-02,1.07E-01,9.77E-02,2.37E-02,3.36E-02,1.95E-02,2.31E-02,1.94E-03,1.47E-01,1.25E-01,3.30E-01
21200_31600,2.57E-02,3.72E-02,4.25E-01,2.39E-02,6.46E-02,2.49E-02,1.50E-01,1.00E-02,7.21E-02,1.01E-01,6.56E-02
21200_32400,1.88E-02,2.46E-02,3.46E-01,2.31E-02,5.72E-02,2.92E-02,3.03E-01,1.09E-02,4.14E-02,8.47E-02,6.07E-02
21200_33200,1.35E-02,4.52E-02,3.11E-01,3.01E-02,6.57E-02,2.49E-02,2.44E-01,1.45E-02,8.58E-02,8.76E-02,7.82E-02
21200_34000,2.58E-02,2.99E-02,2.43E-01,3.64E-02,5.13E-02,5.65E-02,3.32E-01,1.83E-02,3.77E-02,8.32E-02,8.68E-02
21200_34800,3.54E-02,6.25E-02,1.98E-01,1.36E-01,5.67E-02,9.70E-02,1.40E-01,3.54E-02,3.01E-02,1.30E-01,7.91E-02
21200_35600,3.37E-02,2.30E-02,2.28E-01,3.31E-02,4.32E-02,6.04E-02,3.77E-01,1.87E-02,6.09E-02,7.46E-02,4.78E-02
21200_36400,4.14E-02,2.92E-02,2.09E-01,3.39E-02,4.71E-02,5.08E-02,3.62E-01,1.43E-02,5.75E-02,8.82E-02,6.66E-02
21200_37200,6.85E-02,3.89E-02,1.34E-01,5.11E-02,3.20E-02,5.70E-02,2.37E-01,8.39E-03,1.69E-01,1.15E-01,8.85E-02
21200_38000,1.53E-01,1.43E-02,4.79E-02,3.04E-02,1.00E-02,3.33E-01,2.84E-02,1.97E-03,6.73E-02,1.58E-01,1.56E-01
21200_38800,7.03E-02,9.74E-02,1.14E-01,7.48E-03,3.26E-02,4.37E-03,1.05E-02,4.83E-04,9.88E-02,8.60E-02,4.78E-01
22000_31600,3.18E-02,5.20E-02,1.96E-01,9.88E-02,3.92E-02,1.25E-01,1.35E-01,1.92E-02,7.09E-02,1.32E-01,9.98E-02
22000_32400,2.92E-02,4.32E-02,3.10E-01,4.24E-02,7.35E-02,4.43E-02,2.14E-01,2.01E-02,5.39E-02,9.24E-02,7.73E-02
22000_33200,3.78E-02,2.16E-02,3.32E-01,2.60E-02,4.95E-02,5.10E-02,2.97E-01,1.34E-02,4.42E-02,7.32E-02,5.37E-02
22000_34000,9.31E-03,2.67E-02,1.97E-01,2.35E-02,4.39E-02,2.51E-02,4.53E-01,1.29E-02,4.71E-02,1.03E-01,5.85E-02
22000_34800,1.10E-02,2.38E-02,1.64E-01,2.77E-02,3.54E-02,3.34E-02,4.97E-01,1.49E-02,5.45E-02,9.36E-02,4.56E-02
22000_35600,6.43E-02,4.58E-02,1.01E-01,6.41E-02,2.65E-02,1.80E-01,8.66E-02,7.21E-03,9.08E-02,1.40E-01,1.94E-01
22000_38000,2.19E-01,3.79E-02,1.07E-01,7.77E-02,2.29E-02,5.37E-02,4.92E-02,5.74E-03,3.02E-01,5.43E-02,7.07E-02
22000_39600,9.75E-02,4.19E-02,1.18E-01,8.23E-02,2.74E-02,9.02E-02,1.73E-01,1.30E-02,1.94E-01,9.77E-02,6.52E-02
22800_31600,3.12E-03,8.42E-02,4.15E-01,1.28E-02,7.62E-02,2.70E-03,5.16E-02,3.52E-03,8.10E-02,1.32E-01,1.38E-01
22800_33200,6.19E-03,4.38E-02,2.57E-01,2.40E-02,6.34E-02,1.48E-02,2.94E-01,1.05E-02,5.00E-02,1.36E-01,9.95E-02
22800_34000,2.69E-02,2.75E-02,2.64E-01,3.77E-02,5.28E-02,5.95E-02,3.12E-01,1.83E-02,3.14E-02,9.36E-02,7.61E-02
22800_34800,9.82E-02,4.63E-02,1.24E-01,3.25E-02,4.78E-02,6.94E-02,1.13E-01,7.45E-03,5.17E-02,2.06E-01,2.04E-01
22800_35600,9.60E-02,5.41E-02,1.36E-01,6.71E-02,4.17E-02,7.82E-02,1.66E-01,1.53E-02,1.49E-01,9.01E-02,1.07E-01
22800_37200,8.96E-02,7.64E-02,8.48E-02,7.81E-03,2.68E-02,9.69E-03,7.25E-03,4.76E-04,7.89E-02,1.32E-01,4.86E-01
23600_37200,2.05E-01,4.41E-02,1.89E-01,2.49E-02,2.61E-02,4.57E-02,6.30E-02,2.48E-03,9.65E-02,1.38E-01,1.64E-01
